Atopobium parvulum (Weinberg et al.) Collins and Wallbanks (ATCC 33793),$376.00,$319.60,seqeunce available,Streptococcus parvulus (Weinberg et al.) Cato emend. Olsen et al.,VPI 0546 [1246],1,freeze-dried,ATCC  1758: Modified chopped meat medium,Temperature: 37.0Celsius Atmosphere: Anaerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/33793.ashx
Bacteroides salyersiae Song et al. (ATCC BAA-997),$376.00,$319.60,NA,Bacteroides salyersae,"WAL 10018 [CCUG 48945, JCM 12988]",2,freeze-dried,ATCC  2107: Modified Reinforced Clostridial,"Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-997.ashx
Clostridium bolteae (ATCC BAA-613),$402.00,$341.70,seqeunce available,NA,WAL 16351 [CCUG 46953],2,freeze-dried,"ATCC  1490: Modified chopped meat medium
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",2Celsius  to 8Celsius,NA,NA,NA,https://www.atcc.org/~/ps/BAA-613.ashx
Blautia wexlerae Liu et al. (ATCC BAA-1564),"For-Profit:
$376.00",,NA,NA,WAL 14507 [DSM 19850],2,frozen,"ATCC  2722: Supplemented Tryptic Soy Broth/Agar
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic gas mixture; 80% N2-20% CO2",-80Celsius  or colder,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1564.ashx
Clostridioides difficile (Prevot) Lawson et al. (ATCC BAA-1805),$376.00,$319.60,NA,Clostridium difficile,NA,2,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Enteric Research,https://www.atcc.org/~/ps/BAA-1805.ashx
Clostridium pasteurianum Winogradsky (ATCC 6013),$376.00,$319.60,seqeunce available,NA,"5 [L.S. McClung 2300, NCIB 9486]",1,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Produces restriction endonuclease ThaI.,https://www.atcc.org/~/ps/6013.ashx
Clostridium perfringens (Veillon and Zuber) Hauduroy et al. (ATCC 51880),$376.00,$319.60,NA,NA,138/88,2,freeze-dried,ATCC  1053: Reinforced Clostridial medium (Oxoid CM149),Temperature: 37.0Celsius Atmosphere: Anaerobic,NA,NA,NA,Used to produce vaccine against beta-toxin,https://www.atcc.org/~/ps/51880.ashx
Dialister invisus Downes et al. (ATCC 51894),$376.00,$319.60,NA,Dialister pneumosintes (Olitsky and Gates) Moore and Moore,N20A-27,1,freeze-dried,ATCC  1490: Modified chopped meat medium,Temperature: 37Celsius Atmosphere: Anaerobic,2Celsius  to 8Celsius,NA,NA,NA,https://www.atcc.org/~/ps/51894.ashx
Clostridium methylpentosum Himelbloom and Canale-Parola (ATCC 43829),$376.00,$319.60,NA,NA,R2,1,freeze-dried,"ATCC  1490: Modified chopped meat medium
ATCC  602: E medium for Anaerobes","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/43829.ashx
Clostridium perfringens (Veillon and Zuber) Hauduroy et al. (ATCC 3629),$376.00,$319.60,NA,NA,"[A.J. Wilsdon type D, strain 21, L.S. McClung 1993, NCIB 10663]",2,freeze-dried,ATCC  1053: Reinforced Clostridial medium (Oxoid CM149),"Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Produces hemolysinsProduces lethal toxinsProduces phospholipase C lecithinase C,https://www.atcc.org/~/ps/3629.ashx
