Methylobacterium extorquens (Urakami and Komagata) Bousfield and Green (ATCC 43645),$376.00,$319.60,unavailable,"NCIB 9399 [ATCC 23326, DSM 1337, TK 0001]",1,freeze-dried,ATCC  784: AMS (ammonium mineral salts),Temperature: 30.0Celsius Atmosphere: Aerobic,unavailable,Sterility assuranceBiotechnology
Acidithiobacillus ferrooxidans (Temple and Colmer) Kelly and Wood (ATCC 14119),"$1,200.00","$1,020.00",unavailable,unavailable,1,test tube,ATCC  2039: Acidithiobacillus ferrooxidans,"Temperature: 26Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Produces hydrogen sulfide:ferric ion oxidoreductaseBiotechnology
Moorella thermoacetica (Fontaine et al.) Collins et al. (ATCC 39073),$376.00,$319.60,seqeunce available,unavailable,1,freeze-dried,ATCC  1203: CM4 medium,"Temperature: 55Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,"Produces ATP synthase
Produces acetate
Production of acetate from sugars
Precipitation of cadmium"
Desulfovibrio desulfuricans subsp. desulfuricans (Beijerinck) Kluyver and van Niel (ATCC 29577),$376.00,$319.60,seqeunce available,NCIB 8307 [Essex 6],1,freeze-dried,"ATCC  1249: Modified Baar's medium for sulfate reducers
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 30Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Biotechnology
Desulfovibrio piger (Moore et al.) Loubinoux et al. (ATCC 29098),$402.00,$341.70,seqeunce available,VPI C3-23 [DSM 749],1,freeze-dried,"ATCC  1249: Modified Baar's medium for sulfate reducers
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Biotechnology
Desulfotomaculum nigrificans (Werkman and Weaver) Campbell and Postgate (ATCC 19858),$402.00,$341.70,seqeunce available,NCIB 8395 [Delft 74],1,freeze-dried,"ATCC  1249: Modified Baar's medium for sulfate reducers
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 45Celsius  to 55Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Biotechnology
Rhodopseudomonas palustris (Molisch) van Niel (ATCC 17001),$376.00,$319.60,seqeunce available,"ATH 2.1.6 [ATCC 11168, E.II.5.1.6, NCIB 11692, NCIB 8252, NCIB 8288, Pal 6]",1,freeze-dried,ATCC  112: Van Niel's yeast agar,Temperature: 30Celsius Atmosphere: Anaerobic under a tungsten lamp,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Produces neuraminidase sialidaseBiotechnology
Methylobacterium extorquens (Urakami and Komagata) Bousfield and Green (ATCC 14718),$376.00,$319.60,seqeunce available,"NCIB 9133 [D 355; AM1, R. Hugh 1924]",1,freeze-dried,ATCC  396: Methylamine-salts medium,"Temperature: 30Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,"Produces glutamate dehydrogenase (NADP+) NADP+-dependent glutamate dehydrogenase, glutamate dehydrogenase (NADP-dependent)Biotechnology"
Rhodobacter sphaeroides (van Niel) Imhoff et al. (ATCC 49419),$550.00,$467.50,unavailable,O.U.001,1,freeze-dried,ATCC  112: Van Niel's yeast agar,Temperature: 24.0Celsius Atmosphere: Anaerobic,unavailable,Degrades molasses wastewaterProduces hydrogenPhotoproduction of hydrogen from molasses wastewater; inducing interferon in vivo and in vitroBiotechnology
Desulfovibrio vulgaris subsp. vulgaris Postgate and Campbell (ATCC 29579),$402.00,$341.70,seqeunce available,"NCIB 8303 [DSM 644, Hildenborough]",1,freeze-dried,ATCC  1249: Modified Baar's medium for sulfate reducers,"Temperature: 30Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Biotechnology
Acetobacterium tundrae Simankova et al. (ATCC BAA-996),$550.00,$467.50,unavailable,Z-4493 [DSM 9173],1,freeze-dried,ATCC  2245: Thermoanaerobacterium medium,Temperature: 20-26Celsius Atmosphere: Anaerobic,unavailable,unavailable
Nesiotobacter exalbescens Donachie et al. (ATCC BAA-994),$550.00,$467.50,unavailable,LA33B,1,freeze-dried,ATCC  2: Marine agar 2216  or marine broth 2216,Temperature: 30.0Celsius Atmosphere: Aerobic,unavailable,unavailable
Planifilum fulgidum (ATCC BAA-970),$550.00,$467.50,unavailable,500275,1,freeze-dried,"ATCC  1065: LB Agar/Broth, Miller",Temperature: 65.0Celsius,unavailable,unavailable
Planifilum fimeticola (ATCC BAA-969),$550.00,$467.50,unavailable,H0165,1,freeze-dried,"ATCC  1065: LB Agar/Broth, Miller",Temperature: 65.0Celsius,unavailable,unavailable
Methylohalobius crimeensis (ATCC BAA-967),$550.00,$467.50,unavailable,10Ki [DSM 16011],1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Halomonas campaniensis Romano et al. (ATCC BAA-966),$550.00,$467.50,unavailable,5AG [DSM 15293],1,freeze-dried,ATCC  1097: Halomonas medium,Temperature: 37.0Celsius Atmosphere: Aerobic,2Celsius  to 8Celsius,unavailable
Halomonas alkaliphila Romano et al. (ATCC BAA-953),$550.00,$467.50,unavailable,18b Ag,1,freeze-dried,ATCC  1097: Halomonas medium,Temperature: 37.0Celsius Atmosphere: aerobic,2Celsius  to 8Celsius,unavailable
Salinivibrio costicola subsp. alcaliphilus Romano et al. 2005 (ATCC BAA-952),$550.00,$467.50,unavailable,18AG [DSM 16359],1,freeze-dried,ATCC  1097: Halomonas medium,Temperature: 30.0Celsius Atmosphere: Aerobic,2Celsius  to 8Celsius,unavailable
Thermus thermophilus (Oshima and Imahori) Williams et al. (ATCC BAA-951),$550.00,$467.50,unavailable,Samu-Sa1 [DSM 15284],1,freeze-dried,ATCC  461: Castenholz TYE medium,Temperature: 65.0Celsius Atmosphere: aerobic,unavailable,unavailable
Thiobacter subterraneus (ATCC BAA-941),$550.00,$467.50,unavailable,C55,1,frozen,ATCC  2672: Modified Wolfe's Mineral,Temperature: 45.0Celsius,unavailable,unavailable
Sulfurospirillum carboxydovorans (ATCC BAA-937),$550.00,$467.50,unavailable,MV [DSM 16295],1,freeze-dried,ATCC  2478: Sulfurospirillum carboxydovorans MV medium,Temperature: 30.0Celsius Atmosphere: Anaerobic,unavailable,unavailable
Calderomonas acidophila (ATCC BAA-936),$550.00,$467.50,unavailable,Pd55,1,freeze-dried,Calderomonas acidophila,"Atmosphere: hydrogen (H2), 80%; carbon dioxide (CO2), 20%Temperature: 50.0Celsius",unavailable,Oxidizes hydrogenReduces sulfur
Methanocorpusculum sinense Zellner et al. (ATCC BAA-933),$550.00,$467.50,unavailable,"OCM 128 [China Z, DSM 4274]",1,frozen,ATCC  2487: MS-OCM Base  with 43 mM NaCl and 5 mM sodium acetate,"Atmosphere: hydrogen (H2), 80%; carbon dioxide (CO2), 20%Temperature: 30.0Celsius",-80Celsius  or colder,unavailable
Methanolobus vulcani Stetter et al. emend. Kadam and Boone (ATCC BAA-932),$550.00,$467.50,unavailable,"OCM 157 [DSM 3029, PL-12/M]",1,frozen,ATCC  2469: MSH,"Atmosphere: hydrogen (H2), 80%; carbon dioxide (CO2), 20%Temperature: 37.0Celsius",-80Celsius  or colder,unavailable
Methanosarcina siciliae (Stetter and Konig) Ni et al. emend. Elberson and Sowers (ATCC BAA-931),$550.00,$467.50,unavailable,"OCM 156 [DSM 3028, T4/M]",1,frozen,ATCC  2469: MSH,"Atmosphere: hydrogen (H2), 80%; carbon dioxide (CO2), 20%Temperature: 37.0Celsius",-80Celsius  or colder,unavailable
Methanobacterium ivanovii Jain et al. (ATCC BAA-930),$550.00,$467.50,unavailable,"OCM 140 [DSM 2611, VKM B-1634]",1,frozen,ATCC  2487: MS-OCM Base  with 43 mM NaCl and 5 mM sodium acetate,"Atmosphere: hydrogen (H2), 80%; carbon dioxide (CO2), 20%Temperature: 37.0Celsius",-80Celsius  or colder,unavailable
Methanocorpusculum bavaricum Zellner et al. (ATCC BAA-929),$550.00,$467.50,unavailable,"OCM 127 [DSM 4179, SZSXXZ]",1,frozen,ATCC  2487: MS-OCM Base  with 43 mM NaCl and 5 mM sodium acetate,"Atmosphere: Anaerobic -hydrogen (H2), 80%; carbon dioxide (CO2), 20%
Temperature: 37.0Celsius",-80Celsius  or colder,unavailable
Methanolobus oregonensis (Liu et al.) Boone (ATCC BAA-928),$550.00,$467.50,unavailable,"OCM 99 [DSM 5435, OGI 99, WAL1]",1,frozen,Methanohalophilus oregonese,"Atmosphere: hydrogen (H2), 80%; carbon dioxide (CO2), 20%Temperature: 37.0Celsius",unavailable,unavailable
Methanothermobacter marburgensis Wasserfallen et al. (ATCC BAA-927),$550.00,$467.50,unavailable,OCM 82 [DSM 2133],1,frozen,ATCC  2487: MS-OCM Base  with 43 mM NaCl and 5 mM sodium acetate,"Temperature: 55Celsius 
Atmosphere: Anaerobic gas mixture, 80% H2 – 20% CO2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Nitrincola lacisaponensis Dimitriu et al. (ATCC BAA-920),$550.00,$467.50,unavailable,4CA,1,freeze-dried,unavailable,unavailable,unavailable,unavailable
Methanogenium organophilum Widdel et al. (ATCC BAA-914),$550.00,$467.50,unavailable,"OCM 72 [CV, DSM 3596]",1,frozen,MGH OCM,"Atmosphere: hydrogen (H2), 80%; carbon dioxide (CO2), 20%Temperature: 30.0Celsius",-80Celsius  or colder,unavailable
Methanolobus taylorii Oremland and Boone (ATCC BAA-911),$550.00,$467.50,unavailable,"OCM 58 [DSM 9005, GS-16]",1,frozen,ATCC  2561: MSH-OCM  w/ 20mM trimethylamine,"Temperature: 37Celsius 
Atmosphere: Anaerobic - 80% H2- 20% CO2(5 psi)",-80Celsius  or colder,unavailable
Desulfovibrio gracilis Magot et al. (ATCC BAA-904),$550.00,$467.50,unavailable,SRL6146 [DSM 16080],1,freeze-dried,ATCC  2465: Desulfovibrio gracilis medium,Temperature: 37.0Celsius Atmosphere: Anaerobic,unavailable,Reduces sulfate
Thermoanaerobacter sp. (ATCC BAA-892),$550.00,$467.50,unavailable,TLO [DSM 15750],1,freeze-dried,ATCC  2107: Modified Reinforced Clostridial,Temperature: 65.0Celsius Atmosphere: Anaerobic,unavailable,unavailable
Haloferax sulfurifontis (ATCC BAA-897),$550.00,$467.50,unavailable,M6,1,freeze-dried,ATCC  2448: Haloferax sulfurifontis,"Temperature: 37Celsius  (shaker)
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Reduces sulfur
