Atopobium parvulum (Weinberg et al.) Collins and Wallbanks (ATCC 33793),$376.00,$319.60,seqeunce available,VPI 0546 [1246],1,freeze-dried,ATCC  1758: Modified chopped meat medium,Temperature: 37.0Celsius Atmosphere: Anaerobic,unavailable,unavailable
Bacteroides salyersiae Song et al. (ATCC BAA-997),$376.00,$319.60,unavailable,"WAL 10018 [CCUG 48945, JCM 12988]",2,freeze-dried,ATCC  2107: Modified Reinforced Clostridial,"Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Clostridium bolteae (ATCC BAA-613),$402.00,$341.70,seqeunce available,WAL 16351 [CCUG 46953],2,freeze-dried,"ATCC  1490: Modified chopped meat medium
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",2Celsius  to 8Celsius,unavailable
Blautia wexlerae Liu et al. (ATCC BAA-1564),$376.00,$319.60,unavailable,WAL 14507 [DSM 19850],2,frozen,"ATCC  2722: Supplemented Tryptic Soy Broth/Agar
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic gas mixture; 80% N2-20% CO2",-80Celsius  or colder,unavailable
Clostridioides difficile (Prevot) Lawson et al. (ATCC BAA-1805),$376.00,$319.60,unavailable,unavailable,2,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Enteric Research
Clostridium pasteurianum Winogradsky (ATCC 6013),$376.00,$319.60,seqeunce available,"5 [L.S. McClung 2300, NCIB 9486]",1,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Produces restriction endonuclease ThaI.
Clostridium perfringens (Veillon and Zuber) Hauduroy et al. (ATCC 51880),$376.00,$319.60,unavailable,138/88,2,freeze-dried,ATCC  1053: Reinforced Clostridial medium (Oxoid CM149),Temperature: 37.0Celsius Atmosphere: Anaerobic,unavailable,Used to produce vaccine against beta-toxin
Dialister invisus Downes et al. (ATCC 51894),$376.00,$319.60,unavailable,N20A-27,1,freeze-dried,ATCC  1490: Modified chopped meat medium,Temperature: 37Celsius Atmosphere: Anaerobic,2Celsius  to 8Celsius,unavailable
Clostridium methylpentosum Himelbloom and Canale-Parola (ATCC 43829),$376.00,$319.60,unavailable,R2,1,freeze-dried,"ATCC  1490: Modified chopped meat medium
ATCC  602: E medium for Anaerobes","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Clostridium perfringens (Veillon and Zuber) Hauduroy et al. (ATCC 3629),$376.00,$319.60,unavailable,"[A.J. Wilsdon type D, strain 21, L.S. McClung 1993, NCIB 10663]",2,freeze-dried,ATCC  1053: Reinforced Clostridial medium (Oxoid CM149),"Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Produces hemolysinsProduces lethal toxinsProduces phospholipase C lecithinase C
Atopobium parvulum (Weinberg et al.) Collins and Wallbanks (ATCC 33793),$376.00,$319.60,seqeunce available,VPI 0546 [1246],1,freeze-dried,ATCC  1758: Modified chopped meat medium,Temperature: 37.0Celsius Atmosphere: Anaerobic,unavailable,unavailable
Bacteroides salyersiae Song et al. (ATCC BAA-997),$376.00,$319.60,unavailable,"WAL 10018 [CCUG 48945, JCM 12988]",2,freeze-dried,ATCC  2107: Modified Reinforced Clostridial,"Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Clostridium bolteae (ATCC BAA-613),$402.00,$341.70,seqeunce available,WAL 16351 [CCUG 46953],2,freeze-dried,"ATCC  1490: Modified chopped meat medium
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",2Celsius  to 8Celsius,unavailable
Blautia wexlerae Liu et al. (ATCC BAA-1564),$376.00,$319.60,unavailable,WAL 14507 [DSM 19850],2,frozen,"ATCC  2722: Supplemented Tryptic Soy Broth/Agar
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic gas mixture; 80% N2-20% CO2",-80Celsius  or colder,unavailable
Clostridioides difficile (Prevot) Lawson et al. (ATCC BAA-1805),$376.00,$319.60,unavailable,unavailable,2,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Enteric Research
Clostridium pasteurianum Winogradsky (ATCC 6013),$376.00,$319.60,seqeunce available,"5 [L.S. McClung 2300, NCIB 9486]",1,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Produces restriction endonuclease ThaI.
Clostridium perfringens (Veillon and Zuber) Hauduroy et al. (ATCC 51880),$376.00,$319.60,unavailable,138/88,2,freeze-dried,ATCC  1053: Reinforced Clostridial medium (Oxoid CM149),Temperature: 37.0Celsius Atmosphere: Anaerobic,unavailable,Used to produce vaccine against beta-toxin
Dialister invisus Downes et al. (ATCC 51894),$376.00,$319.60,unavailable,N20A-27,1,freeze-dried,ATCC  1490: Modified chopped meat medium,Temperature: 37Celsius Atmosphere: Anaerobic,2Celsius  to 8Celsius,unavailable
Clostridium methylpentosum Himelbloom and Canale-Parola (ATCC 43829),$376.00,$319.60,unavailable,R2,1,freeze-dried,"ATCC  1490: Modified chopped meat medium
ATCC  602: E medium for Anaerobes","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Clostridium perfringens (Veillon and Zuber) Hauduroy et al. (ATCC 3629),$376.00,$319.60,unavailable,"[A.J. Wilsdon type D, strain 21, L.S. McClung 1993, NCIB 10663]",2,freeze-dried,ATCC  1053: Reinforced Clostridial medium (Oxoid CM149),"Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Produces hemolysinsProduces lethal toxinsProduces phospholipase C lecithinase C
Clostridium perfringens (Veillon and Zuber) Hauduroy et al. (ATCC 3626),$235.00,$199.75,unavailable,"Strain 34. Type b [A.J. Wilsdon type B, strain 34, L.S. McClung 1955, NCIB 10691]",2,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Clostridium perfringens (Veillon and Zuber) Hauduroy et al. (ATCC 3624),$376.00,$319.60,unavailable,"[A.J. Wilsdon type A, strain 26, L.S. McClung 1997]",2,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood",Temperature: 37.0Celsius Atmosphere: Anaerobic,unavailable,Produces phospholipase A2 lecithinase AProduces alpha-toxin (lecithinase)
Alistipes putredinis (Weinberg et al.) Rautio et al. (ATCC 29800),$402.00,$341.70,seqeunce available,"VPI 3293 [1Ando, CCUG 45780, CIP 104286, DSM 17216]",2,freeze-dried,ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood,"Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Clostridium perfringens (Veillon and Zuber) Hauduroy et al. (ATCC 27324),$376.00,$319.60,unavailable,VPI 1589 [NCIB 10784],2,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Enteric Research
Clostridium histolyticum (Weinberg and Seguin) Bergey et al. (ATCC 21000),$376.00,$319.60,unavailable,unavailable,2,freeze-dried,ATCC  38: Beef liver medium for anaerobes,Temperature: 37.0Celsius Atmosphere: Anaerobic,unavailable,Produces collagenase
Clostridium perfringens (Veillon and Zuber) Hauduroy et al. (ATCC 19574),$376.00,$319.60,unavailable,43F4,2,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Enteric Research
Veillonella atypica (Rogosa) Mays et al. (ATCC 17744),$402.00,$341.70,unavailable,KON,1,freeze-dried,ATCC  1252: Reinforced Clostridial medium (Oxoid CM149) with sodium lactate (60% solution) at a concentration of 1.5%,"Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Clostridium symbiosum (Stevens) Kaneuchi et al. (ATCC 14940),$402.00,$341.70,unavailable,"[2, M. Sebald LSU]",1,freeze-dried,"ATCC  1490: Modified chopped meat medium
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Used in cultivation of Entamoeba histolytica.
Clostridium sporogenes (Metchnikoff) Bergey et al. (ATCC 13732),$376.00,$319.60,unavailable,[55],1,freeze-dried,ATCC  1053: Reinforced Clostridial medium (Oxoid CM149),Temperature: 37.0Celsius Atmosphere: Anaerobic,unavailable,Produces antineoplastic spore suspension
Clostridium perfringens (Veillon and Zuber) Hauduroy et al. (ATCC 13124),$72.00,$61.20,seqeunce available,"NCTC 8237 [ATCC 19408, CIP 103 409, CN 1491, NCIB 6125, NCTC 6125, S 107]",2,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,"Media testingProduces hemolysinsProduces lethal toxinsProduces phospholipase C lecithinase CQuality control strainReference materialControl strain for anaerobe identificationQuality control strain for API, BBL, and MicroScan [Reg TM] productsWater testing"
Clostridium perfringens (Veillon and Zuber) Hauduroy et al. (ATCC 12924),$376.00,$319.60,unavailable,NCTC 8799 [1546/52],2,freeze-dried,ATCC  1490: Modified chopped meat medium,"Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Enteric Research
Clostridium perfringens (Veillon and Zuber) Hauduroy et al. (ATCC 12919),$376.00,$319.60,unavailable,"NCTC 8678 [167/51, CIP 106515]",2,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Enteric Research
Clostridium perfringens (Veillon and Zuber) Hauduroy et al. (ATCC 12917),$376.00,$319.60,unavailable,NCTC 8239 [3653/50],2,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",2Celsius  to 8Celsius,Enteric Research
Clostridium perfringens (Veillon and Zuber) Hauduroy et al. (ATCC 12916),$376.00,$319.60,unavailable,NCTC 8238 [281/50],2,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Media testingEnteric Research
Clostridium perfringens (Veillon and Zuber) Hauduroy et al. (ATCC 12915),$376.00,$319.60,unavailable,"NCTC 8359 [3702/49, CIP 106516]",2,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Enteric Research
Clostridium perfringens (Veillon and Zuber) Hauduroy et al. (ATCC 10543),$72.00,$61.20,unavailable,BP6K [L.S. McClung 1988],2,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Assay of amino acids
Bacteroides fragilis (Veillon and Zuber) Castellani and Chalmers (ATCC 43859),$402.00,$341.70,seqeunce available,20793-3,2,freeze-dried,unavailable,"Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
Faecalibacterium prausnitzii (ATCC 27768),$402.00,$341.70,seqeunce available,VPI C13-51,1,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,unavailable
