Salmonella enterica subsp. enterica serovar Typhimurium GFP (ATCC 14028GFP),$397.00,$337.45,unavailable,unavailable,2,frozen,ATCC  2853: Nutrient Agar/Broth with 100 mcg/ml Ampicillin,"Temperature: 37Celsius 
Atmosphere: Aerobic",-80Celsius  or colder,"Fluorescence detection
Fluorescence imaging
FACS
Cell infection assays
In vivo localization
Pathogen-host interactions assays"
Escherichia coli NanoLuc (ATCC BAA-2586-PACK),$550.00,$467.50,unavailable,unavailable,2,frozen,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37Celsius Atmosphere: Aerobic,-80Celsius  or colder,Food testing
Escherichia coli GFP (ATCC BAA-2209GFP),$550.00,$467.50,unavailable,2001-3357,2,frozen,ATCC  2855: Tryptic Soy Agar/Broth with 100 mcg/ml Ampicillin,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Food testingEnteric research Fluorescence detection
Escherichia coli GFP (ATCC BAA-2196GFP),$550.00,$467.50,unavailable,2003-3014,2,frozen,ATCC  2855: Tryptic Soy Agar/Broth with 100 mcg/ml Ampicillin,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Food testingEnteric research Fluorescence detection
Escherichia coli GFP (ATCC 51657GFP),$550.00,$467.50,unavailable,A,2,frozen,ATCC  2855: Tryptic Soy Agar/Broth with 100 mcg/ml Ampicillin,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Food testingEnteric research Fluorescence detection
Escherichia coli GFP (ATCC BAA-2219GFP),$550.00,$467.50,seqeunce available,2002-3211,2,frozen,ATCC  2855: Tryptic Soy Agar/Broth with 100 mcg/ml Ampicillin,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Food testingEnteric research Fluorescence detection
Escherichia coli GFP (ATCC 25922GFP),$397.00,$337.45,seqeunce available,unavailable,1,frozen,ATCC  2855: Tryptic Soy Agar/Broth with 100 mcg/ml Ampicillin,"Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,"Fluorescence detection 
Fluorescence imaging 
FACS 
Cell infection assays 
In vivo localization 
Pathogen-host interactions assays"
Escherichia coli NanoLuc (ATCC BAA-2587-PACK),$258.00,$219.30,unavailable,unavailable,2,frozen,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37Celsius Atmosphere: Aerobic,-80Celsius  or colder,Food testing
Escherichia coli GFP (ATCC BAA-2215GFP),$397.00,$337.45,seqeunce available,2006-3008,2,frozen,ATCC  2855: Tryptic Soy Agar/Broth with 100 mcg/ml Ampicillin,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Food testingEnteric research Fluorescence detection
Escherichia coli GFP (ATCC 35150GFP),$424.00,$360.40,seqeunce available,EDL 931,2,frozen,ATCC  2855: Tryptic Soy Agar/Broth with 100 mcg/ml Ampicillin,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Food testingEnteric research Fluorescence detection
Salmonella enterica subsp. enterica serovar Typhimurium GFP (ATCC 14028GFP),$397.00,$337.45,unavailable,unavailable,2,frozen,ATCC  2853: Nutrient Agar/Broth with 100 mcg/ml Ampicillin,"Temperature: 37Celsius 
Atmosphere: Aerobic",-80Celsius  or colder,"Fluorescence detection
Fluorescence imaging
FACS
Cell infection assays
In vivo localization
Pathogen-host interactions assays"
Escherichia coli NanoLuc (ATCC BAA-2586-PACK),$550.00,$467.50,unavailable,unavailable,2,frozen,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37Celsius Atmosphere: Aerobic,-80Celsius  or colder,Food testing
Escherichia coli GFP (ATCC BAA-2209GFP),$550.00,$467.50,unavailable,2001-3357,2,frozen,ATCC  2855: Tryptic Soy Agar/Broth with 100 mcg/ml Ampicillin,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Food testingEnteric research Fluorescence detection
Escherichia coli GFP (ATCC BAA-2196GFP),$550.00,$467.50,unavailable,2003-3014,2,frozen,ATCC  2855: Tryptic Soy Agar/Broth with 100 mcg/ml Ampicillin,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Food testingEnteric research Fluorescence detection
